state_name,date,election_type,party,govt_type,election_key,state_abbr
colorado,1990-11-06,g,np,congress,1990-11-06-g-CO,CO
connecticut,1990-11-06,g,np,congress,1990-11-06-g-CT,CT
delaware,1990-11-06,g,np,congress,1990-11-06-g-DE,DE
district of columbia,1990-11-06,g,np,congress,1990-11-06-g-DC,DC
florida,1990-11-06,g,np,congress,1990-11-06-g-FL,FL
georgia,1990-11-06,g,np,congress,1990-11-06-g-GA,GA
idaho,1990-11-06,g,np,congress,1990-11-06-g-ID,ID
illinois,1990-11-06,g,np,congress,1990-11-06-g-IL,IL
indiana,1990-11-06,g,np,congress,1990-11-06-g-IN,IN
iowa,1990-11-06,g,np,congress,1990-11-06-g-IA,IA
kansas,1990-11-06,g,np,congress,1990-11-06-g-KS,KS
kentucky,1990-11-06,g,np,congress,1990-11-06-g-KY,KY
louisiana,1990-11-06,g,np,congress,1990-11-06-g-LA,LA
maine,1990-11-06,g,np,congress,1990-11-06-g-ME,ME
montana,1990-11-06,g,np,congress,1990-11-06-g-MT,MT
nebraska,1990-11-06,g,np,congress,1990-11-06-g-NE,NE
nevada,1990-11-06,g,np,congress,1990-11-06-g-NV,NV
new hampshire,1990-11-06,g,np,congress,1990-11-06-g-NH,NH
new jersey,1990-11-06,g,np,congress,1990-11-06-g-NJ,NJ
new mexico,1990-11-06,g,np,congress,1990-11-06-g-NM,NM
new york,1990-11-06,g,np,congress,1990-11-06-g-NY,NY
north carolina,1990-11-06,g,np,congress,1990-11-06-g-NC,NC
north dakota,1990-11-06,g,np,congress,1990-11-06-g-ND,ND
ohio,1990-11-06,g,np,congress,1990-11-06-g-OH,OH
oklahoma,1990-11-06,g,np,congress,1990-11-06-g-OK,OK
oregon,1990-11-06,g,np,congress,1990-11-06-g-OR,OR
maryland,1990-11-06,g,np,congress,1990-11-06-g-MD,MD
massachusetts,1990-11-06,g,np,congress,1990-11-06-g-MA,MA
michigan,1990-11-06,g,np,congress,1990-11-06-g-MI,MI
minnesota,1990-11-06,g,np,congress,1990-11-06-g-MN,MN
mississippi,1990-11-06,g,np,congress,1990-11-06-g-MS,MS
missouri,1990-11-06,g,np,congress,1990-11-06-g-MO,MO
pennsylvania,1990-11-06,g,np,congress,1990-11-06-g-PA,PA
rhode island,1990-11-06,g,np,congress,1990-11-06-g-RI,RI
south carolina,1990-11-06,g,np,congress,1990-11-06-g-SC,SC
south dakota,1990-11-06,g,np,congress,1990-11-06-g-SD,SD
tennessee,1990-11-06,g,np,congress,1990-11-06-g-TN,TN
texas,1990-11-06,g,np,congress,1990-11-06-g-TX,TX
utah,1990-11-06,g,np,congress,1990-11-06-g-UT,UT
vermont,1990-11-06,g,np,congress,1990-11-06-g-VT,VT
virginia,1990-11-06,g,np,congress,1990-11-06-g-VA,VA
washington,1990-11-06,g,np,congress,1990-11-06-g-WA,WA
west virginia,1990-11-06,g,np,congress,1990-11-06-g-WV,WV
wisconsin,1990-11-06,g,np,congress,1990-11-06-g-WI,WI
wyoming,1990-11-06,g,np,congress,1990-11-06-g-WY,WY
alaska,1990-11-06,g,np,congress,1990-11-06-g-AK,AK
hawaii,1990-11-06,g,np,congress,1990-11-06-g-HI,HI
guam,1990-11-06,g,np,congress,1990-11-06-g-GU,GU
american samoa,1990-11-06,g,np,congress,1990-11-06-g-AS,AS
northern mariana islands,1990-11-06,g,np,congress,1990-11-06-g-MP,MP
virgin islands,1990-11-06,g,np,congress,1990-11-06-g-VI,VI
puerto rico,1990-11-06,g,np,congress,1990-11-06-g-PR,PR
alabama,1992-11-03,g,np,congress,1992-11-03-g-AL,AL
arizona,1992-11-03,g,np,congress,1992-11-03-g-AZ,AZ
arkansas,1992-11-03,g,np,congress,1992-11-03-g-AR,AR
california,1992-11-03,g,np,congress,1992-11-03-g-CA,CA
colorado,1992-11-03,g,np,congress,1992-11-03-g-CO,CO
connecticut,1992-11-03,g,np,congress,1992-11-03-g-CT,CT
delaware,1992-11-03,g,np,congress,1992-11-03-g-DE,DE
district of columbia,1992-11-03,g,np,congress,1992-11-03-g-DC,DC
florida,1992-11-03,g,np,congress,1992-11-03-g-FL,FL
georgia,1992-11-03,g,np,congress,1992-11-03-g-GA,GA
idaho,1992-11-03,g,np,congress,1992-11-03-g-ID,ID
illinois,1992-11-03,g,np,congress,1992-11-03-g-IL,IL
indiana,1992-11-03,g,np,congress,1992-11-03-g-IN,IN
iowa,1992-11-03,g,np,congress,1992-11-03-g-IA,IA
kansas,1992-11-03,g,np,congress,1992-11-03-g-KS,KS
kentucky,1992-11-03,g,np,congress,1992-11-03-g-KY,KY
louisiana,1992-11-03,g,np,congress,1992-11-03-g-LA,LA
maine,1992-11-03,g,np,congress,1992-11-03-g-ME,ME
montana,1992-11-03,g,np,congress,1992-11-03-g-MT,MT
nebraska,1992-11-03,g,np,congress,1992-11-03-g-NE,NE
nevada,1992-11-03,g,np,congress,1992-11-03-g-NV,NV
new hampshire,1992-11-03,g,np,congress,1992-11-03-g-NH,NH
new jersey,1992-11-03,g,np,congress,1992-11-03-g-NJ,NJ
new mexico,1992-11-03,g,np,congress,1992-11-03-g-NM,NM
new york,1992-11-03,g,np,congress,1992-11-03-g-NY,NY
north carolina,1992-11-03,g,np,congress,1992-11-03-g-NC,NC
north dakota,1992-11-03,g,np,congress,1992-11-03-g-ND,ND
ohio,1992-11-03,g,np,congress,1992-11-03-g-OH,OH
oklahoma,1992-11-03,g,np,congress,1992-11-03-g-OK,OK
oregon,1992-11-03,g,np,congress,1992-11-03-g-OR,OR
maryland,1992-11-03,g,np,congress,1992-11-03-g-MD,MD
massachusetts,1992-11-03,g,np,congress,1992-11-03-g-MA,MA
michigan,1992-11-03,g,np,congress,1992-11-03-g-MI,MI
minnesota,1992-11-03,g,np,congress,1992-11-03-g-MN,MN
mississippi,1992-11-03,g,np,congress,1992-11-03-g-MS,MS
missouri,1992-11-03,g,np,congress,1992-11-03-g-MO,MO
pennsylvania,1992-11-03,g,np,congress,1992-11-03-g-PA,PA
rhode island,1992-11-03,g,np,congress,1992-11-03-g-RI,RI
south carolina,1992-11-03,g,np,congress,1992-11-03-g-SC,SC
south dakota,1992-11-03,g,np,congress,1992-11-03-g-SD,SD
tennessee,1992-11-03,g,np,congress,1992-11-03-g-TN,TN
texas,1992-11-03,g,np,congress,1992-11-03-g-TX,TX
utah,1992-11-03,g,np,congress,1992-11-03-g-UT,UT
vermont,1992-11-03,g,np,congress,1992-11-03-g-VT,VT
virginia,1992-11-03,g,np,congress,1992-11-03-g-VA,VA
washington,1992-11-03,g,np,congress,1992-11-03-g-WA,WA
west virginia,1992-11-03,g,np,congress,1992-11-03-g-WV,WV
wisconsin,1992-11-03,g,np,congress,1992-11-03-g-WI,WI
wyoming,1992-11-03,g,np,congress,1992-11-03-g-WY,WY
alaska,1992-11-03,g,np,congress,1992-11-03-g-AK,AK
hawaii,1992-11-03,g,np,congress,1992-11-03-g-HI,HI
guam,1992-11-03,g,np,congress,1992-11-03-g-GU,GU
american samoa,1992-11-03,g,np,congress,1992-11-03-g-AS,AS
northern mariana islands,1992-11-03,g,np,congress,1992-11-03-g-MP,MP
virgin islands,1992-11-03,g,np,congress,1992-11-03-g-VI,VI
puerto rico,1992-11-03,g,np,congress,1992-11-03-g-PR,PR
alabama,1994-11-01,g,np,congress,1994-11-01-g-AL,AL
arizona,1994-11-01,g,np,congress,1994-11-01-g-AZ,AZ
arkansas,1994-11-01,g,np,congress,1994-11-01-g-AR,AR
california,1994-11-01,g,np,congress,1994-11-01-g-CA,CA
colorado,1994-11-01,g,np,congress,1994-11-01-g-CO,CO
connecticut,1994-11-01,g,np,congress,1994-11-01-g-CT,CT
delaware,1994-11-01,g,np,congress,1994-11-01-g-DE,DE
district of columbia,1994-11-01,g,np,congress,1994-11-01-g-DC,DC
florida,1994-11-01,g,np,congress,1994-11-01-g-FL,FL
georgia,1994-11-01,g,np,congress,1994-11-01-g-GA,GA
idaho,1994-11-01,g,np,congress,1994-11-01-g-ID,ID
illinois,1994-11-01,g,np,congress,1994-11-01-g-IL,IL
indiana,1994-11-01,g,np,congress,1994-11-01-g-IN,IN
iowa,1994-11-01,g,np,congress,1994-11-01-g-IA,IA
kansas,1994-11-01,g,np,congress,1994-11-01-g-KS,KS
kentucky,1994-11-01,g,np,congress,1994-11-01-g-KY,KY
louisiana,1994-11-01,g,np,congress,1994-11-01-g-LA,LA
maine,1994-11-01,g,np,congress,1994-11-01-g-ME,ME
montana,1994-11-01,g,np,congress,1994-11-01-g-MT,MT
nebraska,1994-11-01,g,np,congress,1994-11-01-g-NE,NE
nevada,1994-11-01,g,np,congress,1994-11-01-g-NV,NV
new hampshire,1994-11-01,g,np,congress,1994-11-01-g-NH,NH
new jersey,1994-11-01,g,np,congress,1994-11-01-g-NJ,NJ
new mexico,1994-11-01,g,np,congress,1994-11-01-g-NM,NM
new york,1994-11-01,g,np,congress,1994-11-01-g-NY,NY
north carolina,1994-11-01,g,np,congress,1994-11-01-g-NC,NC
north dakota,1994-11-01,g,np,congress,1994-11-01-g-ND,ND
ohio,1994-11-01,g,np,congress,1994-11-01-g-OH,OH
oklahoma,1994-11-01,g,np,congress,1994-11-01-g-OK,OK
oregon,1994-11-01,g,np,congress,1994-11-01-g-OR,OR
maryland,1994-11-01,g,np,congress,1994-11-01-g-MD,MD
massachusetts,1994-11-01,g,np,congress,1994-11-01-g-MA,MA
michigan,1994-11-01,g,np,congress,1994-11-01-g-MI,MI
minnesota,1994-11-01,g,np,congress,1994-11-01-g-MN,MN
mississippi,1994-11-01,g,np,congress,1994-11-01-g-MS,MS
missouri,1994-11-01,g,np,congress,1994-11-01-g-MO,MO
pennsylvania,1994-11-01,g,np,congress,1994-11-01-g-PA,PA
rhode island,1994-11-01,g,np,congress,1994-11-01-g-RI,RI
south carolina,1994-11-01,g,np,congress,1994-11-01-g-SC,SC
south dakota,1994-11-01,g,np,congress,1994-11-01-g-SD,SD
tennessee,1994-11-01,g,np,congress,1994-11-01-g-TN,TN
texas,1994-11-01,g,np,congress,1994-11-01-g-TX,TX
utah,1994-11-01,g,np,congress,1994-11-01-g-UT,UT
vermont,1994-11-01,g,np,congress,1994-11-01-g-VT,VT
virginia,1994-11-01,g,np,congress,1994-11-01-g-VA,VA
washington,1994-11-01,g,np,congress,1994-11-01-g-WA,WA
west virginia,1994-11-01,g,np,congress,1994-11-01-g-WV,WV
wisconsin,1994-11-01,g,np,congress,1994-11-01-g-WI,WI
wyoming,1994-11-01,g,np,congress,1994-11-01-g-WY,WY
alaska,1994-11-01,g,np,congress,1994-11-01-g-AK,AK
hawaii,1994-11-01,g,np,congress,1994-11-01-g-HI,HI
guam,1994-11-01,g,np,congress,1994-11-01-g-GU,GU
american samoa,1994-11-01,g,np,congress,1994-11-01-g-AS,AS
northern mariana islands,1994-11-01,g,np,congress,1994-11-01-g-MP,MP
virgin islands,1994-11-01,g,np,congress,1994-11-01-g-VI,VI
puerto rico,1994-11-01,g,np,congress,1994-11-01-g-PR,PR
alabama,1996-11-05,g,np,congress,1996-11-05-g-AL,AL
arizona,1996-11-05,g,np,congress,1996-11-05-g-AZ,AZ
arkansas,1996-11-05,g,np,congress,1996-11-05-g-AR,AR
california,1996-11-05,g,np,congress,1996-11-05-g-CA,CA
colorado,1996-11-05,g,np,congress,1996-11-05-g-CO,CO
connecticut,1996-11-05,g,np,congress,1996-11-05-g-CT,CT
delaware,1996-11-05,g,np,congress,1996-11-05-g-DE,DE
district of columbia,1996-11-05,g,np,congress,1996-11-05-g-DC,DC
florida,1996-11-05,g,np,congress,1996-11-05-g-FL,FL
georgia,1996-11-05,g,np,congress,1996-11-05-g-GA,GA
idaho,1996-11-05,g,np,congress,1996-11-05-g-ID,ID
illinois,1996-11-05,g,np,congress,1996-11-05-g-IL,IL
indiana,1996-11-05,g,np,congress,1996-11-05-g-IN,IN
iowa,1996-11-05,g,np,congress,1996-11-05-g-IA,IA
kansas,1996-11-05,g,np,congress,1996-11-05-g-KS,KS
kentucky,1996-11-05,g,np,congress,1996-11-05-g-KY,KY
louisiana,1996-11-05,g,np,congress,1996-11-05-g-LA,LA
maine,1996-11-05,g,np,congress,1996-11-05-g-ME,ME
montana,1996-11-05,g,np,congress,1996-11-05-g-MT,MT
nebraska,1996-11-05,g,np,congress,1996-11-05-g-NE,NE
