state_name,date,election_type,party,govt_type,election_key,state_abbr
maine,2016-06-14,p,np,congress,2016-06-14-p-ME,ME
nevada,2016-06-14,p,np,congress,2016-06-14-p-NV,NV
north dakota,2016-06-14,p,np,congress,2016-06-14-p-ND,ND
south carolina,2016-06-14,p,np,congress,2016-06-14-p-SC,SC
virginia,2016-06-14,p,np,congress,2016-06-14-p-VA,VA
colorado,2016-06-28,p,np,congress,2016-06-28-p-CO,CO
new york,2016-06-28,p,np,congress,2016-06-28-p-NY,NY
oklahoma,2016-06-28,p,np,congress,2016-06-28-p-OK,OK
utah,2016-06-28,p,np,congress,2016-06-28-p-UT,UT
kansas,2016-08-02,p,np,congress,2016-08-02-p-KS,KS
michigan,2016-08-02,p,np,congress,2016-08-02-p-MI,MI
missouri,2016-08-02,p,np,congress,2016-08-02-p-MO,MO
washington,2016-08-02,p,np,congress,2016-08-02-p-WA,WA
tennessee,2016-08-04,p,np,congress,2016-08-04-p-TN,TN
virgin islands,2016-08-06,p,np,congress,2016-08-06-p-VI,VI
connecticut,2016-08-09,p,np,congress,2016-08-09-p-CT,CT
minnesota,2016-08-09,p,np,congress,2016-08-09-p-MN,MN
vermont,2016-08-09,p,np,congress,2016-08-09-p-VT,VT
wisconsin,2016-08-09,p,np,congress,2016-08-09-p-WI,WI
hawaii,2016-08-13,p,np,congress,2016-08-13-p-HI,HI
alaska,2016-08-16,p,np,congress,2016-08-16-p-AK,AK
wyoming,2016-08-16,p,np,congress,2016-08-16-p-WY,WY
guam,2016-08-27,p,np,congress,2016-08-27-p-GU,GU
arizona,2016-08-30,p,np,congress,2016-08-30-p-AZ,AZ
florida,2016-08-30,p,np,congress,2016-08-30-p-FL,FL
massachusetts,2016-09-08,p,np,congress,2016-09-08-p-MA,MA
delaware,2016-09-13,p,np,congress,2016-09-13-p-DE,DE
new hampshire,2016-09-13,p,np,congress,2016-09-13-p-NH,NH
rhode island,2016-09-13,p,np,congress,2016-09-13-p-RI,RI
alabama,2020-03-03,p,np,congress,2020-03-03-p-AL,AL
arkansas,2020-03-03,p,np,congress,2020-03-03-p-AR,AR
california,2020-03-03,p,np,congress,2020-03-03-p-CA,CA
north carolina,2020-03-03,p,np,congress,2020-03-03-p-NC,NC
texas,2020-03-03,p,np,congress,2020-03-03-p-TX,TX
mississippi,2020-03-10,p,np,congress,2020-03-10-p-MS,MS
