STATE ,CONGRESSIONAL PRIMARY DATE,CONGRESSIONAL PRIMARY RUNOFF
Kansas ,8/5/2014, 
Michigan ,8/5/2014, 
Missouri ,8/5/2014, 
Washington ,8/5/2014, 
Tennessee ,8/7/2014, 
Hawaii ,8/9/2014, 
Connecticut ,8/12/2014, 
Minnesota ,8/12/2014, 
Wisconsin ,8/12/2014, 
Wisconsin ,8/14/2014,
Alaska ,8/21/2014,
Wyoming ,8/21/2014,
Guam ,8/25/2014,
Arizona ,8/28/2014,
Florida ,8/28/2014,
Massachusetts ,9/4/2014,
Delaware ,9/6/2014,
New Hampshire,9/11/2014,
Rhode Island ,9/12/2014,
Texas ,3/6/2018,5/22/2018
Illinois ,3/20/2018, 
Indiana ,5/8/2018, 
North Carolina,5/8/2018,7/17/2018
Ohio ,5/8/2018, 
West Virginia ,5/8/2018, 
Idaho ,5/15/2018, 
Nebraska ,5/15/2018, 
Oregon ,5/15/2018, 
Pennsylvania ,5/15/2018, 
Arkansas ,5/22/2018,6/19/2018
Georgia ,5/22/2018,7/24/2018
Kentucky ,5/22/2018, 
Alabama ,6/5/2018,7/17/2018
California ,6/5/2018, 
Iowa ,6/5/2018, 
Mississippi ,6/5/2018,6/26/2018
Montana ,6/5/2018, 
New Jersey ,6/5/2018, 
New Mexico ,6/5/2018, 
South Dakota ,6/5/2018,8/14/2018
Maine ,6/12/2018, 
Nevada ,6/12/2018, 
North Dakota ,6/12/2018, 
South Carolina,6/12/2018,6/26/2018
Virginia ,6/12/2018, 
D.C. ,6/19/2018,
Colorado ,6/26/2018,
Maryland ,6/26/2018,
New York ,6/26/2018,
Oklahoma ,6/26/2018,8/28/2018
Utah ,6/26/2018,
Tennessee ,8/2/2018,
Virgin Islands ,8/4/2018,
Kansas ,8/7/2018,
Michigan ,8/7/2018,
Missouri ,8/7/2018,
Washington ,8/7/2018,
Hawaii ,8/11/2018,
Connecticut ,8/14/2018,
Minnesota ,8/14/2018,
Vermont ,8/14/2018,
Wisconsin ,8/14/2018,
Alaska ,8/21/2018,
Wyoming ,8/21/2018,
Guam ,8/25/2018,
Arizona ,8/28/2018,
Florida ,8/28/2018,
Massachusetts ,9/4/2018,
Delaware ,9/6/2018,
New Hampshire,9/11/2018,
Rhode Island ,9/12/2018,
