state_name,date,election_type,party,govt_type,election_key,state_abbr
hawaii,2012-08-11,cp,n/a,congress,2012-08-11-cp-HI,HI
connecticut,2012-08-14,cp,n/a,congress,2012-08-14-cp-CT,CT
florida,2012-08-14,cp,n/a,congress,2012-08-14-cp-FL,FL
minnesota,2012-08-14,cp,n/a,congress,2012-08-14-cp-MN,MN
wisconsin,2012-08-14,cp,n/a,congress,2012-08-14-cp-WI,WI
wyoming,2012-08-21,cp,n/a,congress,2012-08-21-cp-WY,WY
alaska,2012-08-28,cp,n/a,congress,2012-08-28-cp-AK,AK
arizona,2012-08-28,cp,n/a,congress,2012-08-28-cp-AZ,AZ
vermont,2012-08-28,cp,n/a,congress,2012-08-28-cp-VT,VT
guam,2012-09-01,cp,n/a,congress,2012-09-01-cp-GU,GU
massachusetts,2012-09-06,cp,n/a,congress,2012-09-06-cp-MA,MA
virgin islands,2012-09-08,cp,n/a,congress,2012-09-08-cp-VI,VI
delaware,2012-09-11,cp,n/a,congress,2012-09-11-cp-DE,DE
new hampshire,2012-09-11,cp,n/a,congress,2012-09-11-cp-NH,NH
rhode island,2012-09-11,cp,n/a,congress,2012-09-11-cp-RI,RI
arkansas,2016-03-01,cp,n/a,congress,2016-03-01-cp-AR,AR
alabama,2016-03-01,cp,n/a,congress,2016-03-01-cp-AL,AL
texas,2016-03-01,cp,n/a,congress,2016-03-01-cp-TX,TX
mississippi,2016-03-08,cp,n/a,congress,2016-03-08-cp-MS,MS
illinois,2016-03-15,cp,n/a,congress,2016-03-15-cp-IL,IL
north carolina,2016-03-15,cp,n/a,senate,2016-03-15-cp-NC,NC
ohio,2016-03-15,cp,n/a,congress,2016-03-15-cp-OH,OH
maryland,2016-04-26,cp,n/a,congress,2016-04-26-cp-MD,MD
pennsylvania,2016-04-26,cp,n/a,congress,2016-04-26-cp-PA,PA
indiana,2016-05-03,cp,n/a,congress,2016-05-03-cp-IN,IN
nebraska,2016-05-10,cp,n/a,congress,2016-05-10-cp-NE,NE
west virginia,2016-05-10,cp,n/a,congress,2016-05-10-cp-WV,WV
idaho,2016-05-17,cp,n/a,congress,2016-05-17-cp-ID,ID
kentucky,2016-05-17,cp,n/a,congress,2016-05-17-cp-KY,KY
oregon,2016-05-17,cp,n/a,congress,2016-05-17-cp-OR,OR
georgia,2016-05-24,cp,n/a,congress,2016-05-24-cp-GA,GA
puerto rico,2016-06-05,cp,n/a,congress,2016-06-05-cp-PR,PR
california,2016-06-07,cp,n/a,congress,2016-06-07-cp-CA,CA
iowa,2016-06-07,cp,n/a,congress,2016-06-07-cp-IA,IA
montana,2016-06-07,cp,n/a,congress,2016-06-07-cp-MT,MT
new jersey,2016-06-07,cp,n/a,congress,2016-06-07-cp-NJ,NJ
new mexico,2016-06-07,cp,n/a,congress,2016-06-07-cp-NM,NM
north carolina,2016-06-07,cp,n/a,house,2016-06-07-cp-NC,NC
south dakota,2016-06-07,cp,n/a,congress,2016-06-07-cp-SD,SD
d.c.,2016-06-14,cp,n/a,congress,,
maine,2016-06-14,cp,n/a,congress,2016-06-14-cp-ME,ME
nevada,2016-06-14,cp,n/a,congress,2016-06-14-cp-NV,NV
north dakota,2016-06-14,cp,n/a,congress,2016-06-14-cp-ND,ND
south carolina,2016-06-14,cp,n/a,congress,2016-06-14-cp-SC,SC
virginia,2016-06-14,cp,n/a,congress,2016-06-14-cp-VA,VA
colorado,2016-06-28,cp,n/a,congress,2016-06-28-cp-CO,CO
new york,2016-06-28,cp,n/a,congress,2016-06-28-cp-NY,NY
oklahoma,2016-06-28,cp,n/a,congress,2016-06-28-cp-OK,OK
utah,2016-06-28,cp,n/a,congress,2016-06-28-cp-UT,UT
kansas,2016-08-02,cp,n/a,congress,2016-08-02-cp-KS,KS
michigan,2016-08-02,cp,n/a,congress,2016-08-02-cp-MI,MI
missouri,2016-08-02,cp,n/a,congress,2016-08-02-cp-MO,MO
washington,2016-08-02,cp,n/a,congress,2016-08-02-cp-WA,WA
tennessee,2016-08-04,cp,n/a,congress,2016-08-04-cp-TN,TN
virgin islands,2016-08-06,cp,n/a,congress,2016-08-06-cp-VI,VI
connecticut,2016-08-09,cp,n/a,congress,2016-08-09-cp-CT,CT
minnesota,2016-08-09,cp,n/a,congress,2016-08-09-cp-MN,MN
vermont,2016-08-09,cp,n/a,congress,2016-08-09-cp-VT,VT
wisconsin,2016-08-09,cp,n/a,congress,2016-08-09-cp-WI,WI
hawaii,2016-08-13,cp,n/a,congress,2016-08-13-cp-HI,HI
alaska,2016-08-16,cp,n/a,congress,2016-08-16-cp-AK,AK
wyoming,2016-08-16,cp,n/a,congress,2016-08-16-cp-WY,WY
guam,2016-08-27,cp,n/a,congress,2016-08-27-cp-GU,GU
arizona,2016-08-30,cp,n/a,congress,2016-08-30-cp-AZ,AZ
florida,2016-08-30,cp,n/a,congress,2016-08-30-cp-FL,FL
massachusetts,2016-09-08,cp,n/a,congress,2016-09-08-cp-MA,MA
delaware,2016-09-13,cp,n/a,congress,2016-09-13-cp-DE,DE
new hampshire,2016-09-13,cp,n/a,congress,2016-09-13-cp-NH,NH
rhode island,2016-09-13,cp,n/a,congress,2016-09-13-cp-RI,RI
alabama,2020-03-03,cp,n/a,congress,2020-03-03-cp-AL,AL
arkansas,2020-03-03,cp,n/a,congress,2020-03-03-cp-AR,AR
